Locus_ID,Assembly_chainid,Assembly_speciestaxid
NZ_CP020740,2097715,265293
NZ_HF677572,723785,438
NZ_AP014882,241585,438
NZ_AP014883,241585,438
NZ_AP014884,241585,438
NZ_AP014885,241585,438
NZ_CP015165,1766235,438
NZ_CP015166,1766235,438
NZ_CP015167,1766235,438
NZ_CP021525,2173775,438
NZ_CP021526,2173775,438
NZ_CP021527,2173775,438
NZ_CP015169,1766255,438
NZ_CP015170,1766255,438
NZ_CP015171,1766255,438
NZ_CP021510,2173735,438
NZ_CP021511,2173735,438
NZ_CP021512,2173735,438
NZ_CP021513,2173735,438
NZ_CP021514,2173735,438
NZ_CP021923,2202135,438
NZ_CP021924,2202135,438
NZ_CP021925,2202135,438
NZ_CP014688,2006565,1076596
NZ_LN606601,1499615,446692
NZ_CP011121,1628715,1633874
NZ_CP011122,1628715,1633874
NZ_CP011123,1628715,1633874
NZ_CP014059,1558755,85698
NZ_CP005987,175575,33059
NZ_CP005988,175575,33059
NZ_CP005989,175575,33059
NZ_CP021360,2157165,1662456
NZ_CP021363,2157185,1662457
NZ_CP021364,2157185,1662457
NZ_CP021365,2157185,1662457
NZ_CP021367,2157125,1662458
NZ_CP021368,2157125,1662458
NZ_CP021369,2157125,1662458
NZ_CP021370,2157125,1662458
NZ_CP021649,2176815,1858609
NZ_CP021650,2176815,1858609
NZ_CP021651,2176815,1858609
NZ_CP012007,1077655,470
NZ_CP012008,1077655,470
NZ_CP012005,1077675,470
NZ_LN865144,1457535,470
NZ_LN997847,1517645,470
NZ_CP007713,786735,470
NZ_CP007714,786735,470
NZ_AP014650,828935,470
NZ_CP020589,2082685,470
NZ_CP020573,2082705,470
NZ_CP020575,2082705,470
NZ_CP015365,1636235,470
NZ_CP015366,1636235,470
NZ_CP010398,814345,470
NZ_CP010399,814345,470
NZ_CP010400,814345,470
NZ_CP010782,830055,470
NZ_CP021783,2210065,470
NZ_CP021784,2210065,470
NZ_CP021785,2210065,470
NZ_CP021786,2210065,470
NZ_CP021787,2210065,470
NZ_CP008707,963815,470
NZ_CP008708,963815,470
NZ_CP008709,963815,470
NZ_CP015122,2116925,470
NZ_CP008850,695855,470
NZ_CP008851,695855,470
NZ_CP018255,1896005,470
NZ_CP018257,1895985,470
NZ_CP021348,1077965,470
NZ_LT594096,900088705,470
NZ_CP020585,2082645,470
